ESTACION,LATITUD,LONGITUD
PAMPA BLANCA,-14.23731,-75.10407
LETRAYOC,-13.65773,-75.74496
HACIENDA BERNALES,-13.74114,-75.96641
SANTA ANA,-12.00955,-75.22158
PUENTE BREÑA,-12.05216,-75.24051
VIQUES,-12.15603,-75.2283
RUNATULLO,-11.61812,-75.01224
COMAS,-11.74794,-75.13012
INGENIO,-11.87521,-75.29665
PICHANAKI,-10.93352,-74.86681
RIO TULUMAYO,-11.2091,-75.3348
RICRAN,-11.54,-75.5273
JAUJA,-11.78663,-75.48687
JUNIN,-11.14328,-75.98878
SATIPO,-11.2247,-74.6087
TARMA,-11.3967,-75.6899
HUASAHUASI,-11.2677,-75.6391
YANTAC,-11.34583,-76.40453
LA OROYA,-11.57177,-75.95762
HUAYAO,-12.0402,-75.32049
SAN JUAN DE JARPA,-12.12454,-75.43178
LAIVE,-12.25229,-75.36053
TRUJILLO,-8.11203,-78.9851
CHERREPE,-7.11887,-79.56118
CALLANCAS,-7.76747,-78.47727
SALPO,-8.00535,-78.6071
HUAMACHUCO,-7.81916,-78.04013
CACHICADAN,-8.09184,-78.14938
REQUE,-6.88613,-79.8355
OYOTUN,-6.86394,-79.32062
SIPAN,-6.80141,-79.60002
CAYALTI,-6.8808,-79.547
JAYANCA,-6.33159,-79.76869
PASABAR,-5.83722,-79.81908
LAMBAYEQUE,-6.73438,-79.90894
CAMPO DE MARTE,-12.07053,-77.04317
CHOSICA,-11.92986,-76.68975
CHOSICA,-11.92983,-76.68973
ÑAÑA,-11.98744,-76.84194
PUENTE HUACHIPA,-12.01281,-76.89441
YONAN GORE,-7.25592,-79.09909
CUTERVO,-6.37914,-78.81339
TUNEL CHOTANO,-6.54049,-78.78432
CUMBA,-5.94135,-78.66413
BAMBAMARCA M,-6.67981,-78.52346
BAMBAMARCA H,-6.66975,-78.54119
CHUGUR,-6.66878,-78.738
JAEN,-5.67667,-78.77418
CACAO,-5.88406,-78.96256
SAUZAL,-5.77168,-79.39769
HUALLAPE,-5.45077,-78.69579
SAN MARCOS,-7.32249,-78.17269
TONGOD,-6.74456,-78.81392
CAÑAD,-6.64934,-78.99733
CIRATO,-6.65583,-79.07384
